date,term,value
2021-06-13,OECD data,21
2021-06-20,OECD data,22
2021-06-27,OECD data,17
2021-07-04,OECD data,11
2021-07-11,OECD data,24
2021-07-18,OECD data,12
2021-07-25,OECD data,20
2021-08-01,OECD data,27
2021-08-08,OECD data,25
2021-08-15,OECD data,23
2021-08-22,OECD data,14
2021-08-29,OECD data,16
2021-09-05,OECD data,20
2021-09-12,OECD data,25
2021-09-19,OECD data,32
2021-09-26,OECD data,29
2021-10-03,OECD data,28
2021-10-10,OECD data,35
2021-10-17,OECD data,25
2021-10-24,OECD data,22
2021-10-31,OECD data,28
2021-11-07,OECD data,26
2021-11-14,OECD data,38
2021-11-21,OECD data,18
2021-11-28,OECD data,30
2021-12-05,OECD data,26
2021-12-12,OECD data,36
2021-12-19,OECD data,18
2021-12-26,OECD data,13
2022-01-02,OECD data,26
2022-01-09,OECD data,24
2022-01-16,OECD data,34
2022-01-23,OECD data,19
2022-01-30,OECD data,25
2022-02-06,OECD data,24
2022-02-13,OECD data,30
2022-02-20,OECD data,35
2022-02-27,OECD data,29
2022-03-06,OECD data,34
2022-03-13,OECD data,30
2022-03-20,OECD data,40
2022-03-27,OECD data,20
2022-04-03,OECD data,31
2022-04-10,OECD data,28
2022-04-17,OECD data,28
2022-04-24,OECD data,30
2022-05-01,OECD data,42
2022-05-08,OECD data,22
2021-06-13,World Bank data,61
2021-06-20,World Bank data,60
2021-06-27,World Bank data,73
2021-07-04,World Bank data,62
2021-07-11,World Bank data,57
2021-07-18,World Bank data,51
2021-07-25,World Bank data,43
2021-08-01,World Bank data,36
2021-08-08,World Bank data,58
2021-08-15,World Bank data,68
2021-08-22,World Bank data,65
2021-08-29,World Bank data,56
2021-09-05,World Bank data,66
2021-09-12,World Bank data,67
2021-09-19,World Bank data,82
2021-09-26,World Bank data,68
2021-10-03,World Bank data,76
2021-10-10,World Bank data,92
2021-10-17,World Bank data,82
2021-10-24,World Bank data,72
2021-10-31,World Bank data,90
2021-11-07,World Bank data,76
2021-11-14,World Bank data,98
2021-11-21,World Bank data,69
2021-11-28,World Bank data,71
2021-12-05,World Bank data,86
2021-12-12,World Bank data,83
2021-12-19,World Bank data,56
2021-12-26,World Bank data,48
2022-01-02,World Bank data,67
2022-01-09,World Bank data,85
2022-01-16,World Bank data,63
2022-01-23,World Bank data,75
2022-01-30,World Bank data,71
2022-02-06,World Bank data,57
2022-02-13,World Bank data,72
2022-02-20,World Bank data,82
2022-02-27,World Bank data,64
2022-03-06,World Bank data,90
2022-03-13,World Bank data,91
2022-03-20,World Bank data,88
2022-03-27,World Bank data,76
2022-04-03,World Bank data,100
2022-04-10,World Bank data,80
2022-04-17,World Bank data,80
2022-04-24,World Bank data,98
2022-05-01,World Bank data,91
2022-05-08,World Bank data,87
